Player Name,Player Status,Year of Event,Statement Made,Event Description,Platform,Event Type,Media Tone,Post Status,Media Coverage,Sources,URL,title,max_similarity,most_similar_anchor_idx,most_similar_anchor_title
Antonio Brown,Retired,2019,,,,Controversy,Negative,,High,Hartford Courant,https://www.courant.com/2019/09/16/antonio-brown-controversy-threatens-to-envelop-cousin-ravens-rookie-wr-marquise-brown/,"Antonio Brown controversy threatens to envelop cousin, Ravens rookie WR Marquise Brown",0.5403052968850997,43.0,"Brown posts another unpredictable tweet without any additional context or information, resulting in a stir in discussion. "
,,2019,,,,Controversy,Negative,,Medium,New York Post,https://nypost.com/2019/10/06/mason-rudolph-hit-steelers-medical-cart-controversy-emerges/,Mason Rudolph hit: Steelers medical cart controversy emerges after injury,0.2099251433886097,57.0,"Shows frustration about the Saints performance, putting blame on the quarterback Derek Carr"
,,2019,,,,Controversy,Negative,,High,vox.com,https://www.vox.com/the-goods/2019/1/15/18183617/trump-clemson-mcdonalds-burger-king-wendys-dominos,"The controversy around Trump’s fast-food football feast, explained",0.4221714191589039,36.0,Responds to criticism over golfing with Trump before the Eagles visited the White House
,,2020,,,,Controversy,Negative,,High,The Sport Journal,https://thesportjournal.org/article/how-the-nfl-responded-to-the-colin-kaepernick-protests-in-2016-2017-and-how-the-league-responded-to-athlete-protests-during-the-black-lives-matter-movement-of-2020-a-sport-study-social-phenomenologi/,"How the NFL Responded to the Colin Kaepernick Protests in 2016-2017 and How the League Responded to Athlete Protests During the Black Lives Matter Movement of 2020: A Sport Study, Social Phenomenological Approach",0.164778331285414,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
,,2020,,,,Controversy,Negative,,Medium,Den of Geek,https://www.denofgeek.com/games/madden-nfl-21-user-score-controversy-explained/,Madden NFL 21 User Score Controversy Explained,0.1650104889391516,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
,,2020,,,,Reflection,Negative,,Medium,HS Insider,https://highschool.latimes.com/sports/opinion-the-patriots-early-exit-from-the-nfl-post-season-was-a-much-needed-change-in-pace/,Opinion: The Patriots’ early exit from the NFL post-season was a much-needed change in pace,0.2365772171706957,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
,,2020,,,,Controversy,Negative,,Medium,FOX Sports,https://www.foxsports.com/stories/nfl/nfl-at-100-a-look-at-the-biggest-scandals-in-nfl-history,NFL At 100: A look at the biggest scandals in NFL history,0.210144972435962,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
,,2020,,,,Controversy,Mixed,,High,CBS Sports,https://www.cbssports.com/nfl/news/washington-redskins-name-change-heres-a-timeline-detailing-the-origins-controversies-and-more/,"Washington Redskins change name: Here's a timeline detailing the origins, controversies and more",0.1440962457150026,13.0,"Responds to a fan's question about who he would like to have, dead or alive,  at the dinner table"
,,2020,,,,Controversy,Negative,,Medium,Mother Jones,https://www.motherjones.com/media/2020/02/the-messy-racial-politics-of-the-super-bowl-halftime-show/,The Messy Racial Politics of the Super Bowl Halftime Show,0.2026977964717474,5.0,Made a racist tweet about white NFL playerss
Roger Goodell,,2020,,,,Controversy,Positive,,Medium,CBS News,https://www.cbsnews.com/news/nfl-roger-goodell-video-apology-colin-kaepernick-protests-george-floyd-2020-06-06/,"""We were wrong,"" NFL Commissioner Roger Goodell says",0.1424617809623764,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
Baker Mayfield,Playing,2020,,,,Controversy,Negative,,High,mg Magazine,https://mgmagazine.com/culture-lifestyle/media-entertainment/baker-mayfield-causing-additional-nfl-controversy-with-cbd-endorsement/,Baker Mayfield Causing Additional NFL Controversy with CBD Endorsement,0.2723867415610096,17.0,Throws shade at former coach Kevin Stefanski regarding their time working together under the Cleveland Brown
,,2020,,,,Controversy,Mixed,,Medium,ESPN,https://www.espn.com/college-football/story/_/id/29231106/flag-gone-wrong-look-most-controversial-calls-college-football-history,Flag gone wrong? A look at the most controversial calls in college football history,0.1554256219379621,1.0,Response to a tweet that praises Texas running back 
George P. Marshall,,2020,,,,Controversy,Negative,,Medium,DCist,https://dcist.com/story/20/06/24/washington-nfl-team-cancels-george-preston-marshall/,Washington Football Team To Remove References To Former Owner And Segregationist George P. Marshall,0.1441662983939768,5.0,Made a racist tweet about white NFL playerss
George Floyd’s,,2020,,,,Controversy,Negative,,Medium,Yahoo Sports,https://sports.yahoo.com/in-light-of-george-floyds-death-ex-nfl-exec-admits-what-we-knew-all-along-protests-ended-colin-kaepernicks-career-175616379.html,"In light of George Floyd’s death, ex-NFL exec admits what we knew all along: Protests ended Colin Kaepernick’s career",0.164778478411291,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
,,2020,,,,Controversy,Mixed,,Low,The New Yorker,https://www.newyorker.com/culture/annals-of-inquiry/exactly-how-dangerous-is-football,Exactly How Dangerous Is Football?,0.144839410101679,21.0,Calls out a doctor's practices and capabilities after past experience being looked at by the doctor and negligence reports released about him
Gregg Williams,,2020,,,,Controversy,Negative,,Medium,ESPN,https://www.espn.com/nfl/story/_/id/30469684/source-new-york-jets-fire-defensive-coordinator-gregg-williams-controversial-blitz-call,New York Jets fire defensive coordinator Gregg Williams after controversial blitz call,0.3648991439162289,33.0,Reaction to Lil Wayne's tweet after the Bears defeat Green Bay in the NFL Playoffs
,,2020,,,,Controversy,Negative,,High,FOX Sports,https://www.foxsports.com/stories/college-football/controversy-in-clemson,Controversy in Clemson,0.1591393675860761,5.0,Made a racist tweet about white NFL playerss
Kiss Cam,,2020,,,,Controversy,Negative,,Medium,FOX Sports,https://www.foxsports.com/stories/college-football/syracuse-pulls-kiss-cam-after-forced-on-screen-kiss-sparks-controversy,"Syracuse pulls Kiss Cam after forced, on-screen kiss sparks controversy",0.1451879107167497,24.0,"Asked about his opinion when it comes to the number of children a woman have tied to their value, resulting in some controversial answers being made"
Justin Rohrwasser,,2020,,,,Controversy,Negative,,Medium,NBC Sports Boston,https://www.nbcsportsboston.com/nfl/new-england-patriots/report-patriots-kicker-justin-rohrwasser-removed-controversial-tattoo/391818/,Report: Patriots kicker Justin Rohrwasser removed controversial tattoo,0.1559038243124475,7.0,Supports current New England Patriots' defender K'Lavon Chaisson
,,2020,,,,Controversy,Mixed,,Medium,The Oklahoman,https://www.oklahoman.com/story/sports/columns/berry-tramel/2020/09/07/big-12-launches-social-justice-campaign/60383673007/,Big 12 football teams could enter national anthem controversy,0.161138775128139,5.0,Made a racist tweet about white NFL playerss
,,2020,,,,Controversy,Positive,,High,FOX Sports,https://www.foxsports.com/stories/nfl/quarterback-controversies-6-you-need-to-know-about,Quarterback controversies: 6 you need to know about,0.1542789719133989,21.0,Calls out a doctor's practices and capabilities after past experience being looked at by the doctor and negligence reports released about him
James Franklin,,2020,,,,Controversy,Negative,,High,ESPN,https://www.espn.com/college-football/story/_/id/30349666/former-penn-state-football-player-says-coach-told-not-report-physical-fight-police,Former Penn State football player says coach James Franklin told him not to report fight to police,0.2164094501503187,69.0,Publicly backed up teammate Micah Parsons with contract issues under the Dallas Cowboys
DeSean Jackson,Playing,2020,,,,Controversy,Mixed,,High,ESPN,https://www.espn.com/nfl/story/_/id/29848174/eagles-desean-jackson-says-educating-anti-semitic-posts,Eagles' DeSean Jackson says he's educating himself after anti-Semitic posts,0.5023798445953173,52.0,"Apologized for previous anti-Semitic posts made, one in which included a quote of Hitler about Jews "
,,2020,,,,Controversy,Negative,,Medium,Newsweek,https://www.newsweek.com/everything-donald-trump-said-nfl-anthem-protests-1509333,Everything Trump Has Said About NFL Kneeling So Far,0.2829081481759628,36.0,Responds to criticism over golfing with Trump before the Eagles visited the White House
Jordan Love,,2020,,,,Controversy,Positive,,High,Deseret News,https://www.deseret.com/sports/2020/4/24/21234770/jordan-love-green-bay-packers-2020-nfl-draft-controversy-utah-state-quarterback/,Why Green Bay’s selection of Utah State quarterback Jordan Love is seen as a controversial move,0.4111971406652847,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
,,2020,,,,Controversy,Mixed,,Medium,ABC13 Houston,https://abc13.com/post/houston-texans-thanksgiving-football-games-nfl/8204372/,Thanksgiving football: Houston Texans and Detroit Lions played in controversial 2012 game,0.1525876838843933,63.0,Apologizes to the women who publicly accused him of sexual misconduct during massage sessions
Jets,,2020,,,,Controversy,Negative,,High,ESPN,https://www.espn.com/nfl/story/_/id/29632538/one-punch-two-lives-altered-story-jets-2015-locker-room-fight,"One punch, two lives altered: The inside story of Jets' 2015 locker room fight",0.1771537729249748,65.0,Response after former New York Jets teammates accussed that Hardman leaked game plans to two opponents
Logan Paul,,2020,,,,Controversy,Negative,,Medium,Business Insider,https://www.businessinsider.com/logan-paul-youtube-antonio-brown-nfl-boxing-match-fight-talk-2020-1,Logan Paul and NFL Player Antonio Brown Spark Boxing Fight Rumors,0.4137544026570307,43.0,"Brown posts another unpredictable tweet without any additional context or information, resulting in a stir in discussion. "
James Wilks,,2020,,,,Controversy,Positive,,High,The New York Times,https://www.nytimes.com/athletic/1506838/2020/01/03/tuf-champ-james-wilks-finds-second-life-and-controversy-as-plant-based-diet-advocate/,‘TUF’ champ James Wilks finds second life — and controversy — as plant-based-diet advocate,0.1825171569562954,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
Nicolas Anelka’s,,2020,,,,Controversy,Negative,,Medium,The New York Times,https://www.nytimes.com/athletic/1842082/2020/05/29/nicolas-anelka-west-bromwich-albion-controversy/,"Confusion, heartache and controversy – Nicolas Anelka’s sorry spell at West Brom",0.1687256461498006,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
NFL Draft,,2020,,,,Controversy,Mixed,,High,New York Post,https://nypost.com/2020/04/27/espn-reviewing-nfl-draft-2020-facts-that-sparked-outrage/,ESPN’s ‘Debbie Downer’ NFL Draft facts are now under review,0.201545331796057,61.0,"Comes to the defense of Tee Higgins, who received hate from tackle leading to Hamlin to being hospitalized"
,,2020,,,,Apology,Negative,,Medium,USA Today,https://www.usatoday.com/story/sports/nfl/draft/2020/04/27/espn-apologizes-nfl-draft-graphic-tee-higgins-bio-mom/3032396001/,"ESPN apologizes for graphic in Tee Higgins' NFL draft bio, will rethink airing tragic facts in future",0.2715150412860025,61.0,"Comes to the defense of Tee Higgins, who received hate from tackle leading to Hamlin to being hospitalized"
,,2020,,,,Controversy,Mixed,,High,ESPN,https://www.espn.com/college-football/story/_/id/29324272/the-most-absurd-controversial-national-title-claims-college-football-history,The most absurd and controversial national title claims in college football history,0.1457573309992241,1.0,Response to a tweet that praises Texas running back 
,,2020,,,,Controversy,Positive,,High,WYRK,https://wyrk.com/nfl-officials-tweet-explaining-buffalo-bills-controversial-interception-call/,NFL Officials Tweet Explaining Buffalo Bills Controversial ‘Interception’ Call,0.3576351183274001,47.0,"Hearing about Josh Allen's emotional self-reflection on game, Dawkins becomes emotional defending the quarterback"
,,2020,,,,Controversy,Negative,,Medium,New York Post,https://nypost.com/2020/01/22/experts-rip-doctor-turned-evangelist-bennet-omalu-for-cte-claims/,Experts rip doctor-turned-evangelist Bennet Omalu for CTE claims,0.2452066155938876,31.0,Reasoned that made tweet was not posted by him as he does not operate the account
Logo,,2020,,,,Controversy,Negative,,High,SportsLogos.Net News,https://news.sportslogos.net/2020/07/05/the-history-and-the-controversy-of-the-washington-redskins-name-and-logo/football/,The History and the Controversy of the Washington Redskins Name and Logo,0.1423525063124783,0.0,Instagram post celebrating July 4th sparked backlash due to political context and timing
NFL Draft,,2020,,,,Controversy,Negative,,Medium,Awful Announcing,https://awfulannouncing.com/espn/espn-says-trauma-coverage-introduces-the-human-side-of-the-players.html,ESPN says their much-criticized NFL Draft trauma coverage “introduces the human side of the players” (updated),0.2043198840652335,61.0,"Comes to the defense of Tee Higgins, who received hate from tackle leading to Hamlin to being hospitalized"
,,2020,,,,Reflection,Negative,,Low,CBS News,https://www.cbsnews.com/boston/news/espn-story-deflategate-scandal-nfl-patriots-national-narrative/,"ESPN Runs Story Pinning DeflateGate Scandal On NFL Instead Of Patriots, Perhaps Reshaping National Narrative",0.2902292438464873,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
,,2020,,,,Controversy,Mixed,,Medium,The New York Times,https://www.nytimes.com/athletic/2206464/2020/11/19/nebraska-texas-am-2010-madness-revisited/,"Conspiracies, controversy and rancor: Nebraska’s bizarre final Big 12 road game",0.1859813346002049,34.0,Traded to the Seattle Seahawks after desire to remain in the Rams; then becoming a rival to previous team in the Super Bowl
,,2020,,,,Reflection,Positive,,Medium,The New York Times,https://www.nytimes.com/athletic/1829002/2020/05/22/how-a-scandal-unraveled-and-shaped-the-battle-for-card-collectings-soul/,How a scandal unfolded and shaped the battle for card collecting’s soul,0.1705535435156297,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
,,2020,,,,Controversy,Negative,,Medium,CBS Sports,https://www.cbssports.com/nfl/news/saints-lose-on-controversial-pass-interference-no-call-again-former-nfl-referee-says-it-shouldve-been-a-flag/,"Saints lose on controversial pass interference no-call again, former NFL referee says it should've been a flag",0.1578898861962168,47.0,"Hearing about Josh Allen's emotional self-reflection on game, Dawkins becomes emotional defending the quarterback"
,,2020,,,,Controversy,Negative,,High,Comic Book Resources,https://www.cbr.com/why-blitz-the-league-was-controversial/,"Why Blitz: The League, the Only M-Rated Football Game, Was So Controversial",0.177702655814979,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
Deflategate,,2020,,,,Controversy,Negative,,High,sportingnews.com,https://www.sportingnews.com/us/nfl/news/patriots-spygate-deflategate-bill-belichick-timeline/ovkdjh8ny5qb1fnns9grat5mk,"A timeline of Patriots scandals: Spygate, Deflategate and other controversial incidents under Bill Belichick",0.2382231330228183,7.0,Supports current New England Patriots' defender K'Lavon Chaisson
NFL Refs Agree Kyle Rudolph Pushed,,2020,,,,Controversy,Negative,,Medium,Sports Illustrated,https://www.si.com/extra-mustard/2020/01/06/saints-viking-kyle-rudolph-touchdown-pass-interference-controversy,Former NFL Refs Agree Kyle Rudolph Pushed Off on Game-Winning Touchdown,0.1421418709869436,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
Lindsey Ok,,2020,,,,Controversy,Negative,,Low,Awful Announcing,https://awfulannouncing.com/online-outlets/usa-today-ravens-wire-contributor-lindsey-ok-old-tweets-n-word.html,"USA Today Ravens Wire contributor Lindsey Ok tweets limited apology for old tweets with N-word, racial and homophobic mockery",0.1754740369788932,5.0,Made a racist tweet about white NFL playerss
,,2021,,,,Controversy,Negative,,Medium,History.com,https://www.history.com/articles/nfl-scandals-controversy,8 Scandals That Rocked the NFL,0.1406931991612602,67.0,"When advancing to the Super Bowl, Kittle brought back a popular meme cited by a Texas high school football player back in a 2014 interview."
Colin Kaepernick,,2021,,,,Controversy,Negative,,High,NBC News,https://www.nbcnews.com/news/sports/colin-kaepernick-netflix-series-likens-nfl-draft-slavery-no-dignity-rcna4312,"Colin Kaepernick in Netflix series likens NFL draft to slavery: ""No dignity""",0.2108074268171412,5.0,Made a racist tweet about white NFL playerss
,,2021,,,,Controversy,Positive,,Medium,101 ESPN,https://www.101espn.com/news/neuropsychologists-call-for-elimination-of-race-norming-in-clinical-tests-following-nfl-concussion-controversy/,Neuropsychologists call for elimination of race-norming in clinical tests following NFL concussion controversy,0.1408421777862785,5.0,Made a racist tweet about white NFL playerss
Tony McGee,,2021,,,,Controversy,Positive,,High,foxsports1340am.com,https://foxsports1340am.com/tony-mcgee-on-his-nfl-career-and-the-black-14-controversy/,Tony McGee on his NFL Career and the Black 14 Controversy,0.1588604215717681,34.0,Traded to the Seattle Seahawks after desire to remain in the Rams; then becoming a rival to previous team in the Super Bowl
Jon Gruden,,2021,,,,Controversy,Negative,,High,ESPN,https://www.espn.com/nfl/story/_/id/32383911/report-jon-gruden-used-anti-gay-misogynistic-language-emails-7-year-period,"Report: Jon Gruden used anti-gay, misogynistic language in emails over 7-year period",0.1651720271163674,11.0,Partnering with the Trevor Project to support young people who are struggling mentally when it comes to being part of the LBGTQ community
Jon Gruden,,2021,,,,Controversy,Negative,,High,ESPN,https://www.espn.com/nfl/story/_/id/32384058/jon-gruden-resigns-las-vegas-raiders-head-coach,"Jon Gruden resigns as Las Vegas Raiders head coach after report of anti-gay, misogynistic language used in emails",0.1469745666435314,7.0,Supports current New England Patriots' defender K'Lavon Chaisson
,,2021,,,,Controversy,Mixed,,Medium,The New York Times,https://www.nytimes.com/athletic/2720831/2021/07/21/mirtle-making-sense-of-the-jared-mccann-controversy-and-where-the-maple-leafs-go-next/,Mirtle: Making sense of the Jared McCann controversy and where the Maple Leafs go next,0.1630801767625163,34.0,Traded to the Seattle Seahawks after desire to remain in the Rams; then becoming a rival to previous team in the Super Bowl
Jacksonville Jaguars,,2021,,,,Controversy,Negative,,Medium,ESPN,https://www.espn.com/nfl/story/_/id/32884947/inside-urban-meyer-disastrous-tenure-jacksonville-jaguars-coach,Inside Urban Meyer's disastrous tenure as Jacksonville Jaguars coach,0.1766047900166042,34.0,Traded to the Seattle Seahawks after desire to remain in the Rams; then becoming a rival to previous team in the Super Bowl
,,2021,,,,Controversy,Positive,,High,NFL.com,https://www.nfl.com/news/washington-deserved-a-better-ending-than-what-eagles-provided,Washington deserved a better ending than what Eagles provided,0.1556178115361303,45.0,"After the game loss, he expressed the lack of seriousness from other Dolphins players to show up to players-only meetings, aiding in the loss. "
Robert Kraft,,2021,,,,Controversy,Negative,,Medium,ESPN,https://www.espn.com/nfl/story/_/id/32294122/new-england-patriots-book-goes-secretive-controversial-franchise-robert-kraft-tom-brady-bill-belichick,"New England Patriots book goes inside secretive and controversial franchise and Robert Kraft, Tom Brady and Bill Belichick",0.4461386529722432,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
Bruce Allen,,2021,,,,Controversy,Negative,,Medium,New York Post,https://nypost.com/2021/10/15/who-is-bruce-allen-ex-nfl-exec-in-middle-of-email-scandal/,"Who is Bruce Allen, the former Washington exec at center of Jon Gruden email mess?",0.3773928784850706,46.0,"After losing in the Divisional Round, Allen emotionally reflects on his performance, affecting team's progression in the Playoffs. "
Trump,,2021,,,,Controversy,Negative,,High,ESPN,https://www.espn.com/nfl/story/_/id/31484993/son-ghostwriter-late-senator-say-trump-intervened-stop-probe-patriots-spygate-scandal,"Son, ghostwriter of late senator say Trump intervened to stop probe of Patriots' Spygate scandal",0.3217926911707408,53.0,Answers question about his opinion when hearing Trump attending the Super Bowl LIX
Bishop Sycamore,,2021,,,,Controversy,Negative,,High,CBS Sports,https://www.cbssports.com/general/news/bishop-sycamore-football-controversy-remaining-opponents-cancel-games-as-teams-season-appears-to-be-over/,Bishop Sycamore football controversy: Remaining opponents cancel games as team's season appears to be over,0.1672941181270516,59.0,Shares an encouraging message to draft prospects waiting to hear about NFL draft decisions
Tim Tebow,,2021,,,,Controversy,Positive,,High,Deseret News,https://www.deseret.com/sports/2021/5/11/22430843/tim-tebow-controversy-nfl-return/,Tim Tebow’s return to the NFL is dredging up some feelings,0.1859894044031126,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
Antonio Brown,Retired,2021,,,,Controversy,Positive,,Medium,NFL.com,https://www.nfl.com/news/antonio-brown-settles-sexual-assault-lawsuit-with-former-trainer,Antonio Brown settles sexual assault lawsuit with former trainer,0.4098445378957204,43.0,"Brown posts another unpredictable tweet without any additional context or information, resulting in a stir in discussion. "
Browns,,2021,,,,Controversy,Negative,,Medium,Akron Beacon Journal,https://www.beaconjournal.com/story/sports/pro/browns/2021/01/17/rashard-higgins-fumble-hit-browns-chiefs-not-called/4197883001/,Controversial NFL fumble rule costs Browns; hit to Rashard Higgins by Chiefs not called,0.174340411595954,17.0,Throws shade at former coach Kevin Stefanski regarding their time working together under the Cleveland Brown
,,2021,,,,Controversy,Negative,,High,ESPN,https://www.espn.com/college-football/story/_/id/31348836/controversial-high-school-football-coach-rush-propst-contract-renewed-valdosta-georgia-recruiting-allegations,"Controversial high school football coach Rush Propst won't have contract renewed in Valdosta, Georgia, after recruiting allegations",0.1444187777144454,59.0,Shares an encouraging message to draft prospects waiting to hear about NFL draft decisions
,,2021,,,,Controversy,Negative,,High,Action Network,https://www.actionnetwork.com/nfl/kansas-city-chiefs-gambling-scandal-super-bowl-4-len-dawson,The Gambling Scandal That Rocked the Chiefs’ Last Super Bowl Berth 50 Years Ago,0.1472932220600805,67.0,"When advancing to the Super Bowl, Kittle brought back a popular meme cited by a Texas high school football player back in a 2014 interview."
Aaron Rodgers,Playing,2021,,,,Controversy,Negative,,Low,National News Desk,https://thenationaldesk.com/news/americas-news-now/aaron-rodgers-digs-in-on-covid-frustrations-after-it-was-leaked-he-hadnt-gotten-the-shot-green-bay-packers-nfl-quarterback-coronavirus-vaccine-pfizer-moderna-johnson-mrna-vax-pat-macafee-show,Aaron Rodgers digs in on COVID frustrations after shot controversy,0.528232084277331,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
,,2021,,,,Controversy,Positive,,High,Spectrum News,http://spectrumnews1.com/weather/2021/09/22/deflate-gate-debunked--how-weather-can-impact-football.html,Deflate gate debunked: How weather can impact football,0.1624698259681386,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
,,2021,,,,Controversy,Mixed,,High,ESPN,https://www.espn.com/college-football/story/_/id/31099968/lawsuits-secret-tapes-unraveling-powerhouse-high-school-football-program,"Lawsuits, secret taping and the unraveling of a powerhouse high school football program",0.1798171482512197,59.0,Shares an encouraging message to draft prospects waiting to hear about NFL draft decisions
Howard Stern,,2021,,,,Controversy,Negative,,Medium,Yahoo,https://www.yahoo.com/entertainment/howard-stern-would-toss-aaron-rodgers-out-of-the-nfl-for-covid-vaccine-controversy-000634577.html,Howard Stern would toss Aaron Rodgers out of the NFL for COVID vaccine controversy,0.4308237145589049,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
Mike Vrabel,,2021,,,,Controversy,Negative,,Medium,On3,https://www.on3.com/pro/news/mike-vrabel-former-nfl-official-criticize-controversial-incompletion-call-kansas-city-chiefs-denver-broncos/,"Mike Vrabel, former NFL official criticize controversial incompletion call",0.1549194224105176,49.0,"Wilson promoted the TNF's movement to Prime Video by showing off a ""new ball"" for 2022 with a catch phrase ""Let's Ride"" which has been a meme. "
Ron Rivera,,2021,,,,Reflection,Positive,,Medium,CBS News,https://www.cbsnews.com/news/washington-football-team-coach-ron-rivera-on-his-battle-with-cancer/,Washington Football Team coach Ron Rivera on his battle with cancer,0.1642331345855367,68.0,"Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment"
Jon Gruden,,2021,,,,Controversy,Negative,,High,Fox News,https://www.foxnews.com/sports/jon-gruden-emails-qb-controversy-disappointing,"Jon Gruden emails: Ex-NFL QB calls controversy 'disappointing,' knew second report would doom coaching career",0.1572930274669072,62.0,NFL fans accussed officials of favoritism towards the Chiefs to which media has asked Kelce about allegation. 
Kenny Pickett,,2021,,,,Controversy,Negative,,High,Sports Illustrated,https://www.si.com/college/2021/12/10/kenny-pickett-fake-slide-rule-change-bowl-season-army-navy,NCAA Official Explains Fake Slide Rule Change After Kenny Pickett Controversy,0.1400738970864788,12.0,"Tweets about anti-semitic tropes, impling that ""Jewish cabal"" was responsible for crimes like sex trafficking, etc. "
Janet Jackson's,,2021,,,,Controversy,Negative,,High,NPR,https://www.npr.org/2021/11/19/1056562889/new-york-times-fx-documentary-janet-jackson-justin-timberlake-super-bowl,New York Times doc on Janet Jackson's Super Bowl scandal leaves questions unanswered,0.2571397705067715,52.0,"Apologized for previous anti-Semitic posts made, one in which included a quote of Hitler about Jews "
Mark Davis,,2021,,,,Controversy,Negative,,Medium,Fox News,https://www.foxnews.com/sports/raiders-mark-davis-nfl-jon-gruden-email-scandal,Raiders' Mark Davis believes NFL 'out to get him' in the wake of Jon Gruden email scandal: report,0.3798058301394609,23.0,"Defending himself online after allegations of attacking a woman, resulting in arrest warrant being issued"
,,2021,,,,Controversy,Negative,,Medium,The New York Times,https://www.nytimes.com/athletic/2813094/2021/09/08/nielsen-tv-ratings-sports-viewing-controversy/,Nielsen vs. the networks: The latest ratings controversy and what it means for sports TV viewing,0.276747609360657,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
Cal McNair,,2021,,,,Controversy,Negative,,Medium,Yahoo Sports,https://sports.yahoo.com/texans-owner-cal-mc-nair-apologizes-for-reported-use-of-anti-asian-slur-at-golf-event-205743048.html,Texans owner Cal McNair apologizes for reported use of anti-Asian slur at golf event,0.1816501375864808,52.0,"Apologized for previous anti-Semitic posts made, one in which included a quote of Hitler about Jews "
,,2021,,,,Controversy,Negative,,High,The Florida Times-Union,https://www.jacksonville.com/story/sports/nfl/2021/10/03/social-media-reacts-urban-meyer-bar-video/5979948001/,Urban Meyer video at bar in Ohio goes viral. Here's the reaction on social media,0.1558478147204275,49.0,"Wilson promoted the TNF's movement to Prime Video by showing off a ""new ball"" for 2022 with a catch phrase ""Let's Ride"" which has been a meme. "
,,2021,,,,Controversy,Mixed,,High,Business Insider,https://www.businessinsider.com/nfl-refs-blasted-late-pass-interference-call-packers-bucs-2021-1,The NFL world blasted the officials for a controversial holding call that they had otherwise avoided all game,0.1976536977772064,39.0,Criticized the NFL for being insensitive
Tom Brady,Retired,2021,,,,Controversy,Negative,,Medium,bolavip.com,https://bolavip.com/en/nfl/the-true-story-behind-tom-brady-and-the-deflategate-scandal-20200915-0014.html,The true story behind Tom Brady and the Deflategate scandal,0.4812345145784416,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
Joe Montana,,2021,,,,Controversy,Positive,,Medium,CBS Sports,https://www.cbssports.com/nfl/news/ranking-the-five-greatest-nfl-qb-controversies-of-all-time-joe-montana-vs-steve-young-tops-the-list/,Ranking the five greatest NFL QB controversies of all-time: Joe Montana vs. Steve Young tops the list,0.188076757549627,33.0,Reaction to Lil Wayne's tweet after the Bears defeat Green Bay in the NFL Playoffs
Marlon Humphrey,,2021,,,,Controversy,Positive,,Medium,On3,https://www.on3.com/pro/news/marlon-humphrey-praises-trevon-diggs-reopens-controversial-debate-dallas-cowboys-alabama-crimson-tide/,"Marlon Humphrey praises Trevon Diggs, reopens controversial debate",0.3715481432789363,59.0,Shares an encouraging message to draft prospects waiting to hear about NFL draft decisions
Jeff Lebby,,2021,,,,Controversy,Negative,,Medium,The Oklahoman,https://www.oklahoman.com/story/sports/college/sooners/2021/12/09/ou-football-jeff-lebby-carries-stain-baylor-sexual-assault-scandal/6451849001/,Carlson: Why OU football hiring Jeff Lebby as offensive coordinator falls short of Sooners' high standards,0.1840378525230336,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
Twitter,,2021,,,,Controversy,Negative,,High,WYRK,https://wyrk.com/bills-receiver-cole-beasley-ignites-controversy-on-twitter-again/,"Bills Receiver Cole Beasley Ignites Controversy on Twitter, Again",0.6567060122491696,58.0,Voices opinion of the NFLPA that designed the then-new COVID-19 rules restricting unvaccinated players from playing 
Cris Carter,,2021,,,,Controversy,Negative,,High,Awful Announcing,https://awfulannouncing.com/2015/cris-carter-controversy-shows-an-appalling-lack-of-judgment-by-everyone-involved.html,Cris Carter controversy shows an appalling lack of judgment by everyone involved,0.3156257299269646,1.0,Response to a tweet that praises Texas running back 
